CODOP,Operando,Addr. Mode,Código Máquina Calculado,Bytes por calcular,Total de Bytes
ABA,No Operando,Inherente ,1806,0,2
ADCA,Operando,Inmediato,89,1,2
adca,Operando,Directo,99,1,2
adca,Operando,Extendido,B9,2,3
adca,Operando,IDX,A9,1,2
adca,Operando,IDX1,A9,2,3
adca,Operando,IDX2,A9,3,4
adca,Operando,[D;IDX],A9,1,2
adca,Operando,[IDX2],A9,3,4
ADCB,Operando,Inmediato,C9,1,2
adcb,Operando,Directo,D9,1,2
adcb,Operando,Extendido,F9,2,3
adcb,Operando,IDX,E9,1,2
adcb,Operando,IDX1,E9,2,3
adcb,Operando,IDX2,E9,3,4
adcb,Operando,[D;IDX],E9,1,2
adcb,Operando,[IDX2],E9,3,4
ADDA,Operando,Inmediato,8B,1,2
adda,Operando,Directo,9B,1,2
adda,Operando,Extendido,BB,2,3
adda,Operando,IDX,AB,1,2
adda,Operando,IDX1,AB,2,3
adda,Operando,IDX2,AB,3,4
adda,Operando,[D;IDX],AB,1,2
adda,Operando,[IDX2],AB,3,4
ADDB,Operando,Inmediato,CB,1,2
addb,Operando,Directo,DB,1,2
addb,Operando,Extendido,FB,2,3
addb,Operando,IDX,EB,1,2
addb,Operando,IDX1,EB,2,3
addb,Operando,IDX2,EB,3,4
addb,Operando,[D;IDX],EB,1,2
addb,Operando,[IDX2],EB,3,4
ADDD,Operando,Inmediato,C3,2,3
addd,Operando,Directo,D3,1,2
addd,Operando,Extendido,F3,2,3
addd,Operando,IDX,E3,1,2
addd,Operando,IDX1,E3,2,3
addd,Operando,IDX2,E3,3,4
addd,Operando,[D;IDX],E3,1,2
addd,Operando,[IDX2],E3,3,4
ANDA,Operando,Inmediato,84,1,2
anda,Operando,Directo,94,1,2
anda,Operando,Extendido,B4,2,3
anda,Operando,IDX,A4,1,2
anda,Operando,IDX1,A4,2,3
anda,Operando,IDX2,A4,3,4
anda,Operando,[D;IDX],A4,1,2
anda,Operando,[IDX2],A4,3,4
ANDB,Operando,Inmediato,C4,1,2
andb,Operando,Directo,D4,1,2
andb,Operando,Extendido,F4,2,3
andb,Operando,IDX,E4,1,2
andb,Operando,IDX1,E4,2,3
andb,Operando,IDX2,E4,3,4
andb,Operando,[D;IDX],E4,1,2
andb,Operando,[IDX2],E4,3,4
BCC,Operando,REL,24,1,2
BCS,Operando,REL,25,1,2
BEQ,Operando,REL,27,1,2
BGE,Operando,REL,2C,1,2
BGND,No Operando,Inherente ,0,0,1
BGT,Operando,REL,2E,1,2
BHI,Operando,REL,22,1,2
BHS,Operando,REL,24,1,2
BITA,Operando,Inmediato,85,1,2
bita,Operando,Directo,95,1,2
bita,Operando,Extendido,B5,2,3
bita,Operando,IDX,A5,1,2
bita,Operando,IDX1,A5,2,3
bita,Operando,IDX2,A5,3,4
bita,Operando,[D;IDX],A5,1,2
bita,Operando,[IDX2],A5,3,4
BITB,Operando,Inmediato,C5,1,2
bitb,Operando,Directo,D5,1,2
bitb,Operando,Extendido,F5,2,3
bitb,Operando,IDX,E5,1,2
bitb,Operando,IDX1,E5,2,3
bitb,Operando,IDX2,E5,3,4
bitb,Operando,[D;IDX],E5,1,2
bitb,Operando,[IDX2],E5,3,4
BLE,Operando,REL,2F,1,2
BLO,Operando,REL,25,1,2
BLS,Operando,REL,23,1,2
BLT,Operando,REL,2D,1,2
BMI,Operando,REL,2B,1,2
BNE,Operando,REL,26,1,2
BPL,Operando,REL,2A,1,2
BRA,Operando,REL,20,1,2
BRN,Operando,REL,21,1,2
BSR,Operando,REL,7,1,2
BVC,Operando,REL,28,1,2
BVS,Operando,REL,29,1,2
CBA,No Operando,Inherente,1817,0,2
CLRA,No Operando,Inherente,87,0,1
CLRB,No Operando,Inherente,C7,0,1
CMPA,Operando,Inmediato,81,1,2
cmpa,Operando,Directo,91,1,2
cmpa,Operando,Extendido,B1,2,3
cmpa,Operando,IDX,A1,1,2
cmpa,Operando,IDX1,A1,2,3
cmpa,Operando,IDX2,A1,3,4
cmpa,Operando,[D;IDX],A1,1,2
cmpa,Operando,[IDX2],A1,3,4
CMPB,Operando,Inmediato,C1,1,2
cmpb,Operando,Directo,D1,1,2
cmpb,Operando,Extendido,F1,2,3
cmpb,Operando,IDX,E1,1,2
cmpb,Operando,IDX1,E1,2,3
cmpb,Operando,IDX2,E1,3,4
cmpb,Operando,[D;IDX],E1,1,2
cmpb,Operando,[IDX2],E1,3,4
COMA,No Operando,Inherente,41,0,1
COMB,No Operando,Inherente,51,0,1
CPD,Operando,Inmediato,8C,2,3
cpd,Operando,Directo,9C,1,2
cpd,Operando,Extendido,BC,2,3
cpd,Operando,IDX,AC,1,2
cpd,Operando,IDX1,AC,2,3
cpd,Operando,IDX2,AC,3,4
cpd,Operando,[D;IDX],AC,1,2
cpd,Operando,[IDX2],AC,3,4
CPS,Operando,Inmediato,8F,2,3
cps,Operando,Directo,9F,1,2
cps,Operando,Extendido,BF,2,3
cps,Operando,IDX,AF,1,2
cps,Operando,IDX1,AF,2,3
cps,Operando,IDX2,AF,3,4
cps,Operando,[D;IDX],AF,1,2
cps,Operando,[IDX2],AF,3,4
CPX,Operando,Inmediato,8E,2,3
cpx,Operando,Directo,9E,1,2
cpx,Operando,Extendido,BE,2,3
cpx,Operando,IDX,AE,1,2
cpx,Operando,IDX1,AE,2,3
cpx,Operando,IDX2,AE,3,4
cpx,Operando,[D;IDX],AE,1,2
cpx,Operando,[IDX2],AE,3,4
CPY,Operando,Inmediato,8D,2,3
cpy,Operando,Directo,9D,1,2
cpy,Operando,Extendido,BD,2,3
cpy,Operando,IDX,AD,1,2
cpy,Operando,IDX1,AD,2,3
